Sample_Name,MAG_Identifier,Contig,Start,Stop,ORF_ID,Best_Hit_ARO,Resistance Mechanism,AMR_Gene_Family,Antibiotic,Drug Class,Model_Type,Percent of Sequence,Identity_perc
bc2118,semibin2,contig_1814_729,846806,849994,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.28,42.13
bc2118,semibin2,contig_1874_480,520091,523327,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.79,42.52
bc2118,semibin2,contig_1874_751,861895,864372,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,115.87,34.77
bc2118,semibin2,contig_1932_673,867242,870439,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.57,41.34
bc2118,semibin2,contig_333_390,458330,461512,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.09,41.89
bc2119,complete.14,contig_542_1259,1274575,1277751,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.91,42.13
bc2119,complete.15,contig_67_174,191004,191192,,rsmA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,trimethoprim; chloramphenicol,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,Strict,101.64,80.65
bc2119,complete.15,contig_67_3199,3581202,3581618,,FosA8,antibiotic inactivation,fosfomycin thiol transferase,fosfomycin,phosphonic acid antibiotic,Strict,97.87,60.43
bc2119,complete.15,contig_67_3945,4425318,4426190,,vanW gene in vanG cluster,antibiotic target alteration,vanW; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,103.20,33.71
bc2119,complete.15,contig_67_4604,5168751,5171942,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.38,66.86
bc2119,complete.15,contig_67_4786,5378820,5380529,,ArnT,antibiotic target alteration,pmr phosphoethanolamine transferase,colistin A; colistin B,peptide antibiotic,Strict,103.27,40.55
bc2119,complete.15,contig_67_4796,5392277,5393926,,ArnT,antibiotic target alteration,pmr phosphoethanolamine transferase,colistin A; colistin B,peptide antibiotic,Strict,99.64,42.02
bc2119,complete.15,contig_67_4845,5443239,5446337,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,97.45,43.49
bc2119,complete.15,contig_67_5125,5764730,5766052,,Acinetobacter baumannii AbaQ,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,levofloxacin; nalidixic acid,fluoroquinolone antibiotic,Strict,101.38,72.96
bc2119,complete.15,contig_67_5787,6463330,6463788,,Pseudomonas aeruginosa soxR,antibiotic target alteration; antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,97.44,68.31
bc2119,complete.9,contig_191_1294,1392705,1395902,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.57,50.72
bc2119,complete.9,contig_191_6318,6750397,6753570,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.81,44.77
bc2119,metabat2.14,contig_1044_226,268282,271434,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.15,42.19
bc2119,metabat2.14,contig_1044_1659,1868001,1871180,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.00,45.18
bc2119,metabat2.14,contig_1044_2396,2673476,2673805,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,101.87,42.31
bc2119,metabat2.14,contig_1045_645,745758,748949,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.38,75.54
bc2119,metabat2.14,contig_1045_1250,1405013,1405594,,Pseudomonas aeruginosa soxR,antibiotic target alteration; antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,123.72,69.85
bc2119,metabat2.19,contig_289_18,14213,17401,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.28,51.34
bc2119,metabat2.1,contig_68_316,360507,361316,,vanY gene in vanM cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,115.45,32.85
bc2119,metabat2.1,contig_70_158,158582,161752,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.72,60.15
bc2119,metabat2.1,contig_70_296,311304,312308,,APH(9)-Ic,antibiotic inactivation,APH(9),spectinomycin,aminoglycoside antibiotic,Strict,96.53,91.32
bc2119,metabat2.1,contig_70_1342,1513235,1513567,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,48.78
bc2119,metabat2.1,contig_70_2093,2373841,2375226,,smeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline; chloramphenicol,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,Strict,98.93,97.18
bc2119,metabat2.1,contig_70_2094,2375298,2378420,,smeE,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline; chloramphenicol,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,Strict,100.00,98.65
bc2119,metabat2.1,contig_70_2095,2378433,2379617,,smeD,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline; chloramphenicol,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,Strict,100.00,98.73
bc2119,metabat2.1,contig_70_2554,2909272,2910468,,smeA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,1507,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam,Strict,100.00,95.23
bc2119,metabat2.1,contig_70_2556,2911985,2912689,,smeR,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,1550,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam,Strict,102.18,94.74
bc2119,metabat2.20,contig_1309_278,304825,308022,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.57,51.09
bc2119,metabat2.20,contig_1397_326,349035,352214,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.00,70.54
bc2119,metabat2.20,contig_351_84,89339,92488,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.06,42.01
bc2119,metabat2.20,contig_762_815,803300,806434,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.58,42.49
bc2119,metabat2.36,contig_1314_179,204598,205287,,smeR,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,1550,aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam,Strict,100.00,95.63
bc2119,metabat2.36,contig_1314_586,635254,636438,,smeD,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline; chloramphenicol,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,Strict,100.00,98.22
bc2119,metabat2.36,contig_1314_587,636451,639573,,smeE,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline; chloramphenicol,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,Strict,100.00,98.75
bc2119,metabat2.36,contig_1314_1059,1179971,1180432,,AAC(6')-Iak,antibiotic inactivation,AAC(6'),dibekacin; amikacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin,aminoglycoside antibiotic,Strict,100.00,98.69
bc2119,metabat2.36,contig_1314_1290,1441701,1442033,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,44.76
bc2119,metabat2.36,contig_69_350,383449,384258,,vanY gene in vanM cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,115.45,33.58
bc2119,metabat2.36,contig_76_151,153364,156534,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.72,60.06
bc2119,metabat2.36,contig_76_299,319104,320111,,APH(9)-Ic,antibiotic inactivation,APH(9),spectinomycin,aminoglycoside antibiotic,Strict,96.82,90.42
bc2119,semibin2,contig_1276_94,105367,105804,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,135.51,51.39
bc2119,semibin2,contig_1284_381,420622,423816,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.47,58.26
bc2119,semibin2,contig_1363_22,21315,21725,,FosA8,antibiotic inactivation,fosfomycin thiol transferase,fosfomycin,phosphonic acid antibiotic,Strict,96.45,55.88
bc2119,semibin2,contig_851_470,519864,523094,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.61,71.08
bc2119,semibin2,contig_1388_143,178778,181957,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.00,51.59
bc2120,complete.10,contig_232_669,708675,711938,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,102.64,70.94
bc2120,complete.10,contig_232_2510,2641625,2644789,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.53,42.94
bc2120,complete.10,contig_232_2562,2702310,2702867,,AAC(6')-Ib',antibiotic inactivation,AAC(6'),amikacin; tobramycin,aminoglycoside antibiotic,Strict,100.54,74.58
bc2120,complete.20,contig_355_129,123924,124787,,ESP-1,antibiotic inactivation,ESP beta-lactamase,2232,carbapenem,Strict,98.97,86.76
bc2120,complete.20,contig_355_1373,1505432,1507876,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,114.33,35.5
bc2120,complete.20,contig_355_1615,1766321,1767319,,vanH gene in vanD cluster,antibiotic target alteration,vanH; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,102.79,35.31
bc2120,metabat2.20,contig_146_213,277747,280935,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.28,51.09
bc2120,metabat2.23,contig_124_791,916881,920072,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.38,76.34
bc2120,metabat2.23,contig_124_1421,1618533,1619105,,Pseudomonas aeruginosa soxR,antibiotic target alteration; antibiotic efflux,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; acriflavine; tetracycline; rifampin; chloramphenicol; ampicillin; norfloxacin; cefalotin; triclosan,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,Strict,121.79,65.99
bc2120,metabat2.23,contig_125_323,355968,359120,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.15,41.82
bc2120,metabat2.23,contig_125_1992,2157117,2160296,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.00,45.27
bc2120,metabat2.38,contig_80_1300,1411498,1412478,,SGM-7,antibiotic inactivation,SGM beta-lactamase,5650,carbapenem,Strict,100.00,98.47
bc2120,metabat2.38,contig_80_1511,1629508,1629837,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,101.87,44.34
bc2120,metabat2.38,contig_80_2276,2431765,2434953,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.28,51.15
bc2120,metabat2.56,contig_215_1558,1685888,1686307,,FosI,antibiotic inactivation,fosfomycin thiol transferase,fosfomycin,phosphonic acid antibiotic,Strict,103.73,71.76
bc2120,metabat2.56,contig_215_1973,2149187,2149522,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,103.74,42.31
bc2120,metabat2.56,contig_215_2071,2236373,2239528,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.24,43.57
bc2120,metabat2.59,contig_1_436,512030,515221,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.38,49.91
bc2120,metabat2.59,contig_1_1814,2053038,2056184,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.96,43.3
bc2120,metabat2.59,contig_1_1878,2117730,2120888,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.34,42.62
bc2120,metabat2.59,contig_1_2442,2816001,2819192,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.38,43.65
bc2120,metabat2.5,contig_396_825,785846,786100,,rsmA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,trimethoprim; chloramphenicol,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,Strict,137.70,89.09
bc2120,metabat2.61,contig_1098_164,176462,176791,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,101.87,38.55
bc2120,metabat2.61,contig_723_329,374121,377327,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.85,42.12
bc2120,metabat2.61,contig_738_202,218431,219219,,vanY gene in vanB cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,97.76,26.57
bc2120,metabat2.9,contig_974_719,804030,807200,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.72,43.02
bc2120,semibin2,contig_2506_12,11526,14657,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.49,44.14
bc2120,semibin2,contig_2564_16,15141,16121,,SGM-6,antibiotic inactivation,SGM beta-lactamase,5649,carbapenem,Strict,100.00,98.47
bc2120,semibin2,contig_586_56,65119,68307,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.28,51.34
bc2120,semibin2,contig_670_420,486796,490026,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.61,71.08
bc2120,semibin2,contig_670_1618,1827498,1827935,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,135.51,51.39
bc2120,semibin2,contig_670_3043,3359405,3359815,,FosA8,antibiotic inactivation,fosfomycin thiol transferase,fosfomycin,phosphonic acid antibiotic,Strict,96.45,55.88
bc2120,semibin2,contig_671_405,448506,451700,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.47,58.26
bc2120,semibin2,contig_1245_8,6520,9693,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.81,50.52
bc2121,complete.12,contig_3691_47,31957,32721,,vanY gene in vanG cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,91.04,34.72
bc2121,complete.12,contig_3691_49,33080,33904,,vanY gene in vanF cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,93.52,33.5
bc2121,complete.14,contig_79_2108,2337885,2338700,,vanY gene in vanM cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,116.31,35.04
bc2121,complete.1,contig_1_1120,1341763,1344234,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,115.59,33.69
bc2121,complete.2,contig_1082_2193,2442145,2445327,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.09,52.41
bc2121,complete.2,contig_1082_3061,3436563,3436907,,qacJ,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,106.54,44.44
bc2121,complete.2,contig_1082_3715,4153311,4156511,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.66,69.21
bc2121,complete.5,contig_1403_1211,1561185,1562048,,aadS,antibiotic inactivation,ANT(6),streptomycin,aminoglycoside antibiotic,Strict,100.00,99.65
bc2121,complete.5,contig_1403_1212,1562224,1563390,,tet(X),antibiotic inactivation,tetracycline inactivation enzyme,tigecycline; tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline,glycylcycline; tetracycline antibiotic,Strict,100.00,99.48
bc2121,complete.5,contig_1403_1213,1563748,1564974,,EreD,antibiotic inactivation,macrolide esterase,erythromycin,macrolide antibiotic,Strict,100.00,95.34
bc2121,complete.5,contig_1403_1215,1566472,1567272,,ErmF,antibiotic target alteration,Erm 23S ribosomal RNA methyltransferase,erythromycin; roxithromycin; lincomycin; telithromycin; clarithromycin; clindamycin; tylosin; spiramycin; azithromycin; dirithromycin; pristinamycin IA; quinupristin; virginiamycin M1; madumycin II; griseoviridin; dalfopristin; pristinamycin IB; virginiamycin S2; pristinamycin IC; vernamycin C; patricin A; patricin B; ostreogrycin B3; oleandomycin,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,Strict,100.00,98.5
bc2121,complete.5,contig_1403_1237,1582691,1584610,,tet(36),antibiotic target protection,tetracycline-resistant ribosomal protection protein,tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline,tetracycline antibiotic,Strict,99.84,93.09
bc2121,complete.5,contig_1403_2866,3562441,3564936,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,116.71,35.11
bc2121,complete.8,contig_3551_1147,1171913,1175095,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.09,51.27
bc2121,complete.8,contig_3551_1208,1247724,1248056,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,44.9
bc2121,complete.8,contig_3551_1358,1404129,1405145,,vanH gene in vanB cluster,antibiotic target alteration,vanH; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,104.64,38.12
bc2121,metabat2.4,contig_3689_39,45095,46225,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,52.81,31.9
bc2121,metabat2.4,contig_3689_984,1063849,1064619,,vanY gene in vanM cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,109.87,34.97
bc2121,metabat2.4,contig_3705_209,242408,242908,,vanY gene in vanM cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,71.24,39.86
bc2121,semibin2,contig_983_196,257030,259525,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,116.71,32.88
bc2121,semibin2,contig_1219_1152,1204925,1205257,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,44.23
bc2121,semibin2,contig_3591_466,518152,518559,,vanY gene in vanB cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,50.37,34.13
bc2121,semibin2,contig_3772_101,99941,100744,,vanY gene in vanM cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,114.59,37.78
bc2121,semibin2,contig_3782_126,138722,141115,,vanW gene in vanI cluster,antibiotic target alteration,vanW; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,213.67,28.37
bc2121,semibin2,contig_1488_103,94936,98805,,Mycobacterium tuberculosis rpoC mutations confer resistance to rifampicin,antibiotic target alteration,rifampicin resistant rpoC,rifampin; rifabutin,rifamycin antibiotic,Strict,97.95,69.42
bc2121,semibin2,contig_187_1137,1249901,1253116,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.13,67.64
bc2121,semibin2,contig_187_1991,2211859,2212965,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,51.69,30.21
bc2122,complete.15,contig_29_428,450345,450902,,AAC(6')-IIa,antibiotic inactivation,AAC(6'),dibekacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin; gentamicin,aminoglycoside antibiotic,Strict,100.54,73.51
bc2122,complete.15,contig_29_478,505164,508328,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.53,43.22
bc2122,complete.15,contig_29_3092,3272358,3275621,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,102.64,70.94
bc2122,complete.8,contig_1846_2366,2422438,2425620,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.09,51.27
bc2122,complete.8,contig_1846_2427,2498249,2498581,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,44.9
bc2122,complete.8,contig_1846_2577,2654654,2655670,,vanH gene in vanB cluster,antibiotic target alteration,vanH; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,104.64,38.12
bc2122,metabat2.29,contig_327_1439,1515021,1518206,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.19,52.6
bc2122,metabat2.29,contig_327_1442,1520641,1521465,,AAC(3)-IIIc,antibiotic inactivation,AAC(3),gentamicin A; gentamicin,aminoglycoside antibiotic,Strict,98.21,96.24
bc2122,metabat2.29,contig_327_1781,1864955,1868137,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.09,71.46
bc2122,metabat2.29,contig_94_536,567164,570298,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.58,41.82
bc2122,semibin2,contig_230_333,363368,363709,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,105.61,46.15
bc2122,semibin2,contig_1776_79,92103,95312,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.94,69.3
bc2122,semibin2,contig_347_16,15832,19017,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.19,52.07
